dispersion;ouverture_0;ouverture_5;ouverture_10;ouverture_15;ouverture_20;ouverture_25;ouverture_30;ouverture_35;ouverture_40;ouverture_45;ouverture_50;ouverture_55;ouverture_60;ouverture_65;ouverture_70;ouverture_75;ouverture_80;ouverture_85;ouverture_90;ouverture_95;ouverture_100
2,4;0;2,5;5;7,52;10,08;12,69;15,36;18,12;20,99;23,97;27,12;30,47;34,07;38,01;42,4;47,41;53,33;60,75;70,97;88,47;177,06
2,5;0;2,44;4,88;7,34;9,84;12,39;15;17,68;20,48;23,39;26,46;29,72;33,22;37,05;41,32;46,18;51,92;59,09;68,93;85,68;176,48
2,6;0;2,38;4,77;7,18;9,62;12,1;14,65;17,28;20,01;22,85;25,84;29,02;32,44;36,17;40,32;45,05;50,62;57,55;67,06;83,11;175,79
2,7;0;2,33;4,66;7,02;9,41;11,84;14,33;16,9;19,56;22,34;25,27;28,37;31,71;35,34;39,38;43,99;49,41;56,14;65,32;80,75;174,95
2,8;0;2,28;4,57;6,87;9,21;11,59;14,03;16,54;19,14;21,87;24,73;27,76;31,02;34,57;38,52;43,01;48,28;54,82;63,72;78,57;173,95
2,9;0;2,24;4,48;6,74;9,03;11,36;13,75;16,21;18,76;21,43;24,22;27,19;30,38;33,85;37,7;42,08;47,22;53,59;62,23;76,56;172,75
3;0;2,19;4,39;6,61;8,85;11,14;13,48;15,89;18,39;21,01;23,75;26,66;29,78;33,17;36,94;41,22;46,24;52,44;60,84;74,7;171,32
3,1;0;2,15;4,31;6,48;8,69;10,93;13,23;15,6;18,05;20,61;23,3;26,15;29,21;32,54;36,22;40,41;45,31;51,36;59,53;72,97;169,61
3,2;0;2,11;4,23;6,37;8,53;10,74;13;15,32;17,72;20,24;22,88;25,67;28,67;31,93;35,54;39,64;44,44;50,35;58,31;71,37;167,59
3,3;0;2,08;4,16;6,26;8,39;10,55;12,77;15,05;17,42;19,88;22,48;25,22;28,17;31,37;34,91;38,92;43,62;49,4;57,17;69,87;165,39
3,4;0;2,04;4,09;6,16;8,25;10,38;12,56;14,8;17,12;19,55;22,1;24,79;27,69;30,83;34,3;38,23;42,84;48,5;56,1;68,46;162,71
3,5;0;2,01;4,02;6,06;8,12;10,21;12,36;14,56;16,85;19,23;21,74;24,39;27,23;30,32;33,73;37,59;42,11;47,65;55,08;67,14;159,66
3,6;0;1,98;3,96;5,96;7,99;10,05;12,16;14,34;16,58;18,93;21,4;24;26,8;29,83;33,18;36,97;41,41;46,85;54,12;65,89;156,27
3,7;0;1,95;3,9;5,87;7,87;9,9;11,98;14,12;16,33;18,64;21,07;23,63;26,38;29,37;32,66;36,39;40,75;46,09;53,22;64,72;152,57
3,8;0;1,92;3,85;5,79;7,75;9,76;11,8;13,91;16,09;18,36;20,76;23,28;25,99;28,93;32,17;35,83;40,12;45,36;52,35;63,61;148,66
3,9;0;1,89;3,79;5,71;7,64;9,62;11,64;13,71;15,86;18,1;20,46;22,95;25,61;28,51;31,7;35,3;39,51;44,67;51,54;62,56;144,63
4;0;1,87;3,74;5,63;7,54;9,49;11,48;13,52;15,64;17,85;20,17;22,63;25,25;28,1;31,25;34,8;38,94;44,01;50,76;61,57;140,59
4,1;0;1,84;3,69;5,55;7,44;9,36;11,32;13,34;15,43;17,61;19,89;22,32;24,91;27,72;30,82;34,31;38,39;43,38;50,01;60,62;136,61
4,2;0;1,82;3,64;5,48;7,34;9,24;11,17;13,17;15,23;17,38;19,63;22,02;24,58;27,35;30,4;33,85;37,86;42,78;49,3;59,71;132,79
4,3;0;1,82;3,64;5,48;7,34;9,24;11,17;13,17;15,23;17,38;19,63;22,02;24,58;27,35;30,4;33,85;37,86;42,78;49,3;59,71;132,79
4,4;0;1,77;3,55;5,34;7,16;9,01;10,9;12,84;14,85;16,94;19,13;21,47;23,95;26,65;29,62;32,97;36,88;41,65;47,97;58,02;126,18
4,5;0;1,75;3,51;5,28;7,07;8,9;10,76;12,68;14,67;16,73;18,9;21,21;23,66;26,32;29,26;32,56;36,41;41,12;47,34;57,23;123,08
4,6;0;1,73;3,47;5,22;6,99;8,79;10,64;12,53;14,49;16,54;18,68;20,95;23,38;26,01;28,9;32,17;35,96;40,61;46,74;56,48;120,19
4,7;0;1,71;3,43;5,16;6,91;8,69;10,51;12,39;14,33;16,34;18,46;20,71;23,11;25,7;28,56;31,79;35,53;40,11;46,17;55,76;117,49
4,8;0;1,69;3,39;5,1;6,83;8,59;10,4;12,25;14,17;16,16;18,25;20,47;22,84;25,41;28,23;31,42;35,12;39,63;45,61;55,06;115
4,9;0;1,68;3,35;5,04;6,76;8,5;10,28;12,11;14,01;15,98;18,05;20,25;22,59;25,12;27,92;31,06;34,72;39,17;45,08;54,39;112,67
5;0;1,66;3,32;4,99;6,68;8,41;10,17;11,98;13,86;15,81;17,85;20,03;22,34;24,85;27,61;30,72;34,33;38,73;44,56;53,75;110,5
5,1;0;1,64;3,28;4,94;6,61;8,32;10,06;11,86;13,71;15,64;17,66;19,8;22,1;24,58;27,31;30,39;33,96;38,31;44,06;53,12;108,46
5,2;0;1,62;3,25;4,89;6,55;8,23;9,96;11,74;13,57;15,48;17,48;19,6;21,87;24,33;27,03;30,07;33,6;37,89;43,58;52,52;106,54
5,3;0;1,61;3,22;4,84;6,48;8,15;9,86;11,62;13,43;15,32;17,3;19,4;21,65;24,08;26,75;29,75;33,25;37,49;43,11;51,95;104,94
5,4;0;1,59;3,18;4,79;6,42;8,07;9,76;11,5;13,3;15,17;17,13;19,21;21,43;23,83;26,48;29,45;32,91;37,11;42,66;51,39;103,27
5,5;0;1,58;3,15;4,74;6,35;7,99;9,67;11,39;13,17;15,02;16,96;19,02;21,22;23,6;26,22;29,16;32,58;36,73;42,23;50,85;101,69
5,6;0;1,56;3,12;4,7;6,29;7,92;9,58;11,28;13,04;14,88;16,8;18,84;21,02;23,37;25,96;28,88;32,26;36,37;41,8;50,32;100,2
5,7;0;1,55;3,09;4,65;6,24;7,84;9,49;11,18;12,92;14,74;16,64;18,66;20,82;23,15;25,72;28,6;31,95;36,02;41,39;49,82;98,77
5,8;0;1,53;3,07;4,61;6,18;7,77;9,4;11,07;12,8;14,6;16,49;18,49;20,63;22,94;25,48;28,33;31,65;35,68;40,99;49,32;97,41
5,9;0;1,52;3,04;4,57;6,12;7,7;9,32;10,97;12,69;14,47;16,34;18,32;20,44;22,73;25,24;28,07;31,36;35,34;40,61;48,85;96,12
6;0;1,51;3,01;4,53;6,07;7,63;9,23;10,88;12,58;14,34;16,2;18,16;20,26;22,53;25,02;27,82;31,07;35,02;40,23;48,38;94,88
6,1;0;1,49;2,99;4,49;6,02;7,57;9,15;10,78;12,47;14,22;16,06;18;20,08;22,33;24,8;27,57;30,79;34,71;39,85;47,93;93,69
6,2;0;1,48;2,96;4,45;5,97;7,5;9,08;10,69;12,36;14,1;15,92;17,84;19,9;22,14;24,58;27,33;30,53;34,4;39,5;47,49;92,54
6,3;0;1,47;2,94;4,42;5,92;7,44;9;10,6;12,26;13,98;15,78;17,69;19,73;21,95;24,37;27,1;30,26;34,1;39,15;47,07;91,44
6,4;0;1,46;2,91;4,38;5,87;7,38;8,93;10,51;12,16;13,86;15,65;17,55;19,57;21,76;24,17;26,87;30,01;33,81;38,82;46,65;90,37
6,5;0;1,44;2,89;4,34;5,82;7,32;8,85;10,43;12,06;13,75;15,53;17,4;19,41;21,59;23,97;26,65;29,76;33,53;38,49;46,25;89,55
6,6;0;1,43;2,86;4,31;5,77;7,26;8,78;10,35;11,96;13,64;15,4;17,26;19,25;21,41;23,78;26,44;29,52;33,25;38,17;45,86;88,59
6,7;0;1,42;2,84;4,28;5,73;7,2;8,71;10,26;11,87;13,53;15,28;17,13;19,1;21,24;23,59;26,22;29,28;32,99;37,86;45,48;87,66
6,8;0;1,41;2,82;4,24;5,68;7,15;8,65;10,19;11,78;13,43;15,16;16,99;18,95;21,08;23,4;26,02;29,05;32,72;37,55;45,1;86,76
6,9;0;1,4;2,8;4,21;5,64;7,09;8,58;10,11;11,69;13,33;15,05;16,86;18,81;20,92;23,22;25,82;28,82;32,47;37,25;44,74;85,89
7;0;1,39;2,78;4,18;5,6;7,04;8,52;10,03;11,6;13,23;14,93;16,74;18,66;20,76;23,05;25,62;28,6;32,22;36,96;44,38;85,04
7,1;0;1,38;2,76;4,15;5,56;6,99;8,45;9,96;11,51;13,13;14,82;16,61;18,52;20,6;22,88;25,43;28,39;31,97;36,68;44,04;84,22
7,2;0;1,37;2,74;4,12;5,52;6,94;8,39;9,89;11,43;13,03;14,71;16,49;18,39;20,45;22,71;25,24;28,17;31,73;36,4;43,7;83,42
7,3;0;1,36;2,72;4,09;5,48;6,89;8,33;9,81;11,35;12,94;14,61;16,37;18,26;20,3;22,54;25,06;27,97;31,5;36,13;43,37;82,64
7,4;0;1,35;2,7;4,06;5,44;6,84;8,27;9,75;11,27;12,85;14,51;16,26;18,13;20,16;22,38;24,88;27,77;31,27;35,87;43,05;81,88
7,5;0;1,34;2,68;4,03;5,4;6,79;8,22;9,68;11,19;12,76;14,4;16,14;18;20,02;22,22;24,7;27,57;31,05;35,61;42,73;81,13
7,6;0;1,33;2,66;4;5,36;6,75;8,16;9,61;11,11;12,67;14,3;16,03;17,87;19,87;22,07;24,53;27,38;30,83;35,36;42,42;80,59
7,7;0;1,32;2,64;3,98;5,33;6,7;8,1;9,55;11,04;12,58;14,21;15,92;17,75;19,73;21,92;24,36;27,19;30,61;35,11;42,12;79,89
7,8;0;1,31;2,63;3,95;5,29;6,66;8,05;9,48;10,96;12,5;14,11;15,82;17,63;19,6;21,77;24,2;27;30,4;34,87;41,82;79,23
7,9;0;1,3;2,61;3,93;5,26;6,61;8;9,42;10,89;12,42;14,02;15,71;17,52;19,47;21,62;24,03;26,82;30,2;34,63;41,53;78,58
8;0;1,3;2,59;3,9;5,22;6,57;7,94;9,36;10,82;12,34;13,93;15,61;17,4;19,34;21,48;23,87;26,64;30;34,4;41,25;77,94
8,1;0;1,3;2,59;3,9;5,22;6,57;7,94;9,36;10,82;12,34;13,93;15,61;17,4;19,34;21,48;23,87;26,64;30;34,4;41,25;77,94
8,2;0;1,28;2,56;3,85;5,16;6,49;7,84;9,24;10,68;12,18;13,75;15,41;17,18;19,09;21,21;23,57;26,3;29,61;33,94;40,7;76,72
8,3;0;1,27;2,54;3,83;5,12;6,45;7,79;9,18;10,61;12,1;13,66;15,31;17,07;18,97;21,07;23,42;26,13;29,42;33,72;40,43;76,12
8,4;0;1,26;2,53;3,8;5,09;6,41;7,75;9,12;10,55;12,03;13,58;15,22;16,96;18,85;20,94;23,27;25,97;29,23;33,51;40,17;75,54
8,5;0;1,26;2,51;3,78;5,06;6,37;7,7;9,07;10,48;11,95;13,49;15,12;16,86;18,74;20,81;23,13;25,8;29,05;33,3;39,9;74,97
8,6;0;1,26;2,51;3,78;5,06;6,37;7,7;9,07;10,48;11,95;13,49;15,12;16,86;18,74;20,81;23,13;25,8;29,05;33,3;39,9;74,97
8,7;0;1,24;2,48;3,73;5;6,29;7,61;8,96;10,36;11,81;13,33;14,94;16,66;18,51;20,56;22,85;25,49;28,69;32,89;39,4;73,84
8,8;0;1,23;2,47;3,71;4,97;6,25;7,56;8,91;10,3;11,74;13,25;14,85;16,56;18,4;20,44;22,71;25,34;28,52;32,69;39,16;73,3
8,9;0;1,23;2,45;3,69;4,94;6,22;7,52;8,86;10,24;11,67;13,18;14,77;16,46;18,29;20,32;22,58;25,19;28,35;32,49;38,93;72,96
9;0;1,22;2,44;3,67;4,91;6,18;7,48;8,8;10,18;11,61;13,1;14,68;16,37;18,19;20,2;22,44;25,04;28,18;32,3;38,69;72,46
9,1;0;1,22;2,44;3,67;4,91;6,18;7,48;8,8;10,18;11,61;13,1;14,68;16,37;18,19;20,2;22,44;25,04;28,18;32,3;38,69;72,46
9,2;0;1,21;2,41;3,63;4,86;6,11;7,39;8,71;10,06;11,47;12,95;14,51;16,18;17,98;19,96;22,19;24,75;27,86;31,93;38,24;71,48
9,3;0;1,2;2,4;3,61;4,83;6,08;7,35;8,66;10,01;11,41;12,88;14,43;16,09;17,88;19,85;22,06;24,61;27,7;31,74;38,02;71,01
9,4;0;1,19;2,39;3,59;4,81;6,04;7,31;8,61;9,95;11,35;12,81;14,35;16;17,78;19,74;21,94;24,48;27,55;31,56;37,8;70,54
9,5;0;1,19;2,37;3,57;4,78;6,01;7,27;8,56;9,9;11,29;12,74;14,27;15,91;17,68;19,63;21,82;24,34;27,39;31,39;37,58;70,08
9,6;0;1,18;2,36;3,55;4,75;5,98;7,23;8,52;9,84;11,22;12,67;14,2;15,83;17,59;19,52;21,7;24,21;27,24;31,21;37,37;69,62
9,7;0;1,17;2,35;3,53;4,73;5,95;7,19;8,47;9,79;11,16;12,6;14,12;15,74;17,49;19,42;21,58;24,08;27,1;31,04;37,17;69,18
9,8;0;1,17;2,34;3,51;4,7;5,92;7,15;8,43;9,74;11,11;12,54;14,05;15,66;17,4;19,31;21,47;23,95;26,95;30,88;36,96;68,73
9,9;0;1,16;2,32;3,49;4,68;5,88;7,12;8,38;9,69;11,05;12,47;13,97;15,58;17,31;19,21;21,36;23,82;26,81;30,71;36,76;68,3
10;0;1,16;2,31;3,48;4,66;5,85;7,08;8,34;9,64;10,99;12,41;13,9;15,5;17,22;19,11;21,24;23,7;26,67;30,55;36,57;67,86
10,1;0;1,15;2,3;3,46;4,63;5,82;7,04;8,3;9,59;10,93;12,34;13,83;15,42;17,13;19,01;21,13;23,58;26,53;30,39;36,37;67,62
10,2;0;1,14;2,29;3,44;4,61;5,8;7,01;8,25;9,54;10,88;12,28;13,76;15,34;17,04;18,92;21,03;23,45;26,39;30,23;36,18;67,22
10,3;0;1,14;2,28;3,42;4,59;5,77;6,97;8,21;9,49;10,82;12,22;13,69;15,26;16,96;18,82;20,92;23,34;26,26;30,08;36;66,83
10,4;0;1,13;2,27;3,41;4,56;5,74;6,94;8,17;9,45;10,77;12,16;13,62;15,18;16,87;18,73;20,82;23,22;26,12;29,92;35,81;66,44
10,5;0;1,13;2,25;3,39;4,54;5,71;6,9;8,13;9,4;10,72;12,1;13,56;15,11;16,79;18,63;20,71;23,1;25,99;29,77;35,63;66,06
10,6;0;1,12;2,24;3,37;4,52;5,68;6,87;8,09;9,35;10,67;12,04;13,49;15,04;16,71;18,54;20,61;22,99;25,87;29,63;35,45;65,69
10,7;0;1,12;2,23;3,36;4,5;5,65;6,84;8,05;9,31;10,61;11,98;13,42;14,96;16,63;18,45;20,51;22,88;25,74;29,48;35,27;65,32
10,8;0;1,11;2,22;3,34;4,47;5,63;6,81;8,02;9,26;10,56;11,92;13,36;14,89;16,55;18,36;20,41;22,77;25,61;29,34;35,1;64,95
10,9;0;1,11;2,21;3,33;4,45;5,6;6,77;7,98;9,22;10,51;11,87;13,3;14,82;16,47;18,28;20,31;22,66;25,49;29,19;34,93;64,59
11;0;1,1;2,2;3,31;4,43;5,58;6,74;7,94;9,18;10,46;11,81;13,23;14,75;16,39;18,19;20,22;22,55;25,37;29,05;34,76;64,23
11,1;0;1,1;2,19;3,29;4,41;5,55;6,71;7,9;9,14;10,42;11,76;13,17;14,68;16,31;18,11;20,12;22,44;25,25;28,92;34,59;63,87
11,2;0;1,09;2,18;3,28;4,39;5,52;6,68;7,87;9,09;10,37;11,7;13,11;14,62;16,24;18,02;20,03;22,34;25,13;28,78;34,43;63,52
11,3;0;1,09;2,17;3,26;4,37;5,5;6,65;7,83;9,05;10,32;11,65;13,05;14,55;16,16;17,94;19,93;22,24;25,02;28,65;34,27;63,16
11,4;0;1,08;2,16;3,25;4,35;5,47;6,62;7,8;9,01;10,27;11,6;12,99;14,48;16,09;17,86;19,84;22,14;24,9;28,52;34,11;63
11,5;0;1,08;2,15;3,24;4,33;5,45;6,59;7,76;8,97;10,23;11,54;12,93;14,42;16,02;17,78;19,75;22,04;24,79;28,39;33,95;62,68
11,6;0;1,07;2,14;3,22;4,31;5,43;6,56;7,73;8,93;10,18;11,49;12,88;14,35;15,95;17,7;19,66;21,94;24,68;28,26;33,8;62,36
11,7;0;1,07;2,13;3,21;4,3;5,4;6,53;7,69;8,89;10,14;11,44;12,82;14,29;15,88;17,62;19,57;21,84;24,57;28,13;33,64;62,05
11,8;0;1,06;2,12;3,19;4,28;5,38;6,5;7,66;8,85;10,09;11,39;12,76;14,23;15,81;17,54;19,49;21,74;24,46;28,01;33,49;61,74
11,9;0;1,06;2,11;3,18;4,26;5,36;6,48;7,63;8,82;10,05;11,34;12,71;14,17;15,74;17,47;19,4;21,65;24,35;27,88;33,34;61,43
12;0;1,05;2,11;3,17;4,24;5,33;6,45;7,59;8,78;10,01;11,3;12,66;14,11;15,67;17,39;19,32;21,56;24,25;27,76;33,2;61,13
12,1;0;1,05;2,1;3,15;4,22;5,31;6,42;7,56;8,74;9,97;11,25;12,6;14,05;15,61;17,32;19,24;21,46;24,14;27,64;33,05;60,82
12,2;0;1,04;2,09;3,14;4,2;5,29;6,39;7,53;8,7;9,92;11,2;12,55;13,99;15,54;17,24;19,15;21,37;24,04;27,52;32,91;60,52
12,3;0;1,04;2,08;3,13;4,19;5,27;6,37;7,5;8,67;9,88;11,15;12,5;13,93;15,47;17,17;19,07;21,28;23,94;27,41;32,77;60,23
12,4;0;1,04;2,07;3,11;4,17;5,24;6,34;7,47;8,63;9,84;11,11;12,44;13,87;15,41;17,1;18,99;21,19;23,84;27,29;32,63;59,92
12,5;0;1,03;2,06;3,1;4,15;5,22;6,31;7,44;8,6;9,8;11,06;12,39;13,81;15,35;17,03;18,92;21,1;23,74;27,18;32,49;59,62
12,6;0;1,03;2,05;3,09;4,14;5,2;6,29;7,41;8,56;9,76;11,02;12,34;13,76;15,28;16,96;18,84;21,02;23,64;27,06;32,35;59,33
12,7;0;1,02;2,05;3,08;4,12;5,18;6,26;7,38;8,53;9,72;10,97;12,29;13,7;15,22;16,89;18,76;20,93;23,54;26,95;32,22;59,22
12,8;0;1,02;2,04;3,06;4,1;5,16;6,24;7,35;8,49;9,68;10,93;12,24;13,65;15,16;16,82;18,69;20,85;23,45;26,84;32,09;58,95
12,9;0;1,01;2,03;3,05;4,09;5,14;6,21;7,32;8,46;9,64;10,88;12,19;13,59;15,1;16,76;18,61;20,76;23,35;26,73;31,96;58,69
13;0;1,01;2,02;3,04;4,07;5,12;6,19;7,29;8,43;9,61;10,84;12,15;13,54;15,04;16,69;18,54;20,68;23,26;26,63;31,83;58,43
13,1;0;1,01;2,01;3,03;4,05;5,1;6,17;7,26;8,39;9,57;10,8;12,1;13,48;14,98;16,62;18,46;20,6;23,17;26,52;31,7;58,17
13,2;0;1;2,01;3,02;4,04;5,08;6,14;7,23;8,36;9,53;10,76;12,05;13,43;14,92;16,56;18,39;20,52;23,08;26,42;31,57;57,91
13,3;0;1;2;3;4,02;5,06;6,12;7,2;8,33;9,49;10,72;12,01;13,38;14,87;16,49;18,32;20,44;22,99;26,31;31,45;57,65
13,4;0;1;1,99;2,99;4,01;5,04;6,09;7,18;8,3;9,46;10,67;11,96;13,33;14,81;16,43;18,25;20,36;22,9;26,21;31,33;57,4
13,5;0;0,99;1,98;2,98;3,99;5,02;6,07;7,15;8,26;9,42;10,63;11,91;13,28;14,75;16,37;18,18;20,28;22,81;26,11;31,2;57,14
13,6;0;0,99;1,98;2,97;3,98;5;6,05;7,12;8,23;9,39;10,59;11,87;13,23;14,7;16,31;18,11;20,21;22,72;26,01;31,08;56,89
13,7;0;0,98;1,97;2,96;3,96;4,98;6,03;7,1;8,2;9,35;10,55;11,82;13,18;14,64;16,25;18,04;20,13;22,64;25,91;30,96;56,64
13,8;0;0,98;1,96;2,95;3,95;4,96;6;7,07;8,17;9,32;10,52;11,78;13,13;14,59;16,18;17,98;20,05;22,55;25,81;30,85;56,39
13,9;0;0,98;1,95;2,94;3,93;4,95;5,98;7,04;8,14;9,28;10,48;11,74;13,08;14,53;16,12;17,91;19,97;22,47;25,72;30,73;56,14
14;0;0,97;1,95;2,93;3,92;4,93;5,96;7,02;8,11;9,25;10,44;11,69;13,03;14,48;16,07;17,84;19,9;22,39;25,62;30,62;56,07
14,1;0;0,97;1,94;2,92;3,91;4,91;5,94;6,99;8,08;9,22;10,4;11,65;12,99;14,43;16,01;17,78;19,82;22,3;25,53;30,5;55,84
14,2;0;0,97;1,93;2,91;3,89;4,89;5,92;6,97;8,05;9,18;10,36;11,61;12,94;14,37;15,95;17,71;19,75;22,22;25,43;30,39;55,61
14,3;0;0,96;1,93;2,9;3,88;4,88;5,9;6,94;8,03;9,15;10,33;11,57;12,89;14,32;15,89;17,65;19,68;22,14;25,34;30,28;55,39
14,4;0;0,96;1,92;2,89;3,86;4,86;5,88;6,92;8;9,12;10,29;11,53;12,85;14,27;15,84;17,59;19,61;22,06;25,25;30,17;55,17
14,5;0;0,96;1,91;2,87;3,85;4,84;5,85;6,89;7,97;9,08;10,25;11,49;12,8;14,22;15,78;17,53;19,54;21,98;25,16;30,06;54,94
14,6;0;0,95;1,91;2,86;3,84;4,82;5,83;6,87;7,94;9,05;10,22;11,45;12,76;14,17;15,72;17,46;19,47;21,91;25,07;29,95;54,72
14,7;0;0,95;1,9;2,86;3,82;4,81;5,81;6,85;7,91;9,02;10,18;11,41;12,71;14,12;15,67;17,4;19,4;21,83;24,98;29,85;54,51
14,8;0;0,95;1,89;2,85;3,81;4,79;5,79;6,82;7,89;8,99;10,15;11,37;12,67;14,07;15,61;17,34;19,34;21,75;24,89;29,74;54,29
14,9;0;0,94;1,89;2,84;3,8;4,77;5,77;6,8;7,86;8,96;10,11;11,33;12,62;14,02;15,56;17,28;19,27;21,68;24,81;29,64;54,07
15;0;0,94;1,88;2,83;3,78;4,76;5,75;6,78;7,83;8,93;10,08;11,29;12,58;13,98;15,51;17,22;19,2;21,6;24,72;29,53;53,85
15,1;0;0,94;1,87;2,82;3,77;4,74;5,73;6,75;7,81;8,9;10,04;11,25;12,54;13,93;15,45;17,16;19,14;21,53;24,64;29,43;53,64
15,2;0;0,93;1,87;2,81;3,76;4,73;5,72;6,73;7,78;8,87;10,01;11,21;12,5;13,88;15,4;17,11;19,07;21,46;24,55;29,33;53,42
15,3;0;0,93;1,86;2,8;3,75;4,71;5,7;6,71;7,75;8,84;9,98;11,18;12,45;13,84;15,35;17,05;19,01;21,38;24,47;29,23;53,2
15,4;0;0,93;1,85;2,79;3,73;4,7;5,68;6,69;7,73;8,81;9,94;11,14;12,41;13,79;15,3;16,99;18,95;21,31;24,39;29,13;53,17
15,5;0;0,92;1,85;2,78;3,72;4,68;5,66;6,66;7,7;8,78;9,91;11,1;12,37;13,74;15,25;16,94;18,88;21,24;24,31;29,03;52,98
15,6;0;0,92;1,84;2,77;3,71;4,66;5,64;6,64;7,68;8,75;9,88;11,07;12,33;13,7;15,2;16,88;18,82;21,17;24,23;28,94;52,78
15,7;0;0,92;1,84;2,76;3,7;4,65;5,62;6,62;7,65;8,72;9,85;11,03;12,29;13,65;15,15;16,83;18,76;21,1;24,15;28,84;52,59
15,8;0;0,92;1,83;2,75;3,69;4,63;5,6;6,6;7,63;8,7;9,81;10,99;12,25;13,61;15,1;16,77;18,7;21,03;24,07;28,75;52,4
15,9;0;0,91;1,82;2,74;3,67;4,62;5,59;6,58;7,6;8,67;9,78;10,96;12,21;13,57;15,05;16,72;18,64;20,97;23,99;28,65;52,21
